path,count
.contributor[].name[].parallelValue[].valueLanguage.source.code,8932
.relatedResource[].access.note[].type,12145
.identifier[].uri,1983
.relatedResource[].adminMetadata.event[].date[].value,1483
.relatedResource[].adminMetadata.event[].date[].encoding.code,1483
.relatedResource[].adminMetadata.event[].type,1483
.relatedResource[].adminMetadata.identifier[].type,1771
.relatedResource[].adminMetadata.language[].code,185
.relatedResource[].adminMetadata.language[].source.code,185
.relatedResource[].adminMetadata.metadataStandard[].code,213
.relatedResource[].access.physicalLocation[].type,673
.relatedResource[].access.physicalLocation[].value,695
.form[].groupedValue[].uri,1158
.form[].groupedValue[].source.value,4209
.form[].parallelValue[].groupedValue[].type,170
.form[].parallelValue[].groupedValue[].value,170
.form[].parallelValue[].groupedValue[].source.code,159
.form[].parallelValue[].type,95
.form[].parallelValue[].source.code,78
.event[].valueLanguage.valueScript.code,2916
.event[].valueLanguage.valueScript.source.code,2916
.relatedResource[].event[].location[].uri,91
.relatedResource[].event[].location[].value,2276
.relatedResource[].event[].location[].source.uri,91
.geographic[].subject[].uri,438
.relatedResource[].note[].displayLabel,12961
.relatedResource[].note[].structuredValue[].groupedValue[].type,135
.relatedResource[].note[].structuredValue[].groupedValue[].value,135
.title[].uri,4151
.title[].source.uri,192
.title[].source.code,1316
.relatedResource[].title[].note[].type,502
.relatedResource[].title[].note[].structuredValue[].value,433
.relatedResource[].contributor[].name[].uri,544
.relatedResource[].contributor[].name[].source.uri,542
.relatedResource[].contributor[].name[].source.code,540
.relatedResource[].event[].date[].encoding.code,1599
.subject[].groupedValue[].uri,3
.subject[].groupedValue[].type,3
.subject[].groupedValue[].value,3
.subject[].groupedValue[].source.uri,3
.contributor[].name[].parallelValue[].source.code,331
.form[].groupedValue[].source.uri,1095
.relatedResource[].title[].displayLabel,4174
.note[].identifier[].type,77
.note[].identifier[].value,77
.event[].contributor[].name[].type,86
.event[].contributor[].name[].standard.value,86
.relatedResource[].title[].note[].value,291
