path,count
.relatedResource[].event[].date[].encoding.code,1599
.relatedResource[].event[].contributor[].name[].value,279
.relatedResource[].event[].contributor[].role[].uri,279
.relatedResource[].event[].contributor[].role[].code,279
.relatedResource[].event[].contributor[].role[].value,279
.relatedResource[].event[].contributor[].role[].source.uri,279
.relatedResource[].event[].contributor[].role[].source.code,279
.relatedResource[].event[].contributor[].type,279
.title[].parallelValue[].displayLabel,347
.subject[].groupedValue[].uri,3
.subject[].groupedValue[].type,3
.subject[].groupedValue[].value,3
.subject[].groupedValue[].source.uri,3
.subject[].groupedValue[].source.code,3
.contributor[].name[].parallelValue[].source.code,331
.form[].groupedValue[].source.uri,1087
.relatedResource[].title[].displayLabel,4174
.subject[].code,236
.note[].identifier[].type,77
.note[].identifier[].value,77
.event[].contributor[].name[].type,86
.event[].contributor[].name[].standard.value,86
.relatedResource[].title[].uri,202
.relatedResource[].title[].note[].type,230
.relatedResource[].title[].note[].value,230
.relatedResource[].title[].source.uri,202
.relatedResource[].title[].source.code,202
.relatedResource[].note[].structuredValue[].type,9
.relatedResource[].note[].structuredValue[].value,9
.relatedResource[].relatedResource[].type,1639
.relatedResource[].relatedResource[].title[].value,1432
.access.url[].status,204
.subject[].identifier[].uri,91
.subject[].identifier[].type,91
.subject[].identifier[].source.code,91
.access.note[].displayLabel,131
.relatedResource[].relatedResource[].displayLabel,908
.contributor[].name[].type,9
.contributor[].identifier[].uri,374
.contributor[].identifier[].source.code,328
.note[].parallelValue[].value,140
.note[].parallelValue[].displayLabel,140
.note[].parallelValue[].valueLanguage.code,140
.note[].parallelValue[].valueLanguage.source.code,140
.note[].parallelValue[].valueLanguage.valueScript.code,140
.note[].parallelValue[].valueLanguage.valueScript.source.code,140
.subject[].structuredValue[].groupedValue[].uri,12
.subject[].structuredValue[].groupedValue[].type,20
.subject[].structuredValue[].groupedValue[].value,20
.subject[].structuredValue[].groupedValue[].source.uri,12
.subject[].structuredValue[].groupedValue[].source.code,12
.relatedResource[].event[].type,23
.note[].groupedValue[].type,28
.note[].groupedValue[].value,28
.relatedResource[].note[].groupedValue[].structuredValue[].type,5220
.relatedResource[].note[].groupedValue[].structuredValue[].value,5220
.relatedResource[].subject[].structuredValue[].type,1469
.relatedResource[].subject[].structuredValue[].value,1469
.relatedResource[].language[].code,2697
.relatedResource[].language[].source.code,2697
.relatedResource[].relatedResource[].event[].date[].type,202
.relatedResource[].relatedResource[].event[].date[].value,202
.relatedResource[].relatedResource[].event[].location[].value,168
.relatedResource[].language[].value,23
.title[].standard.value,172
.note[].valueAt,2
.event[].note[].source.code,6
.event[].parallelEvent[].date[].type,34
.event[].parallelEvent[].date[].encoding.code,18
.event[].parallelEvent[].date[].qualifier,31
.event[].parallelEvent[].date[].structuredValue[].type,62
.event[].parallelEvent[].date[].structuredValue[].value,62
.event[].parallelEvent[].date[].structuredValue[].status,31
.event[].parallelEvent[].location[].uri,48
.event[].parallelEvent[].location[].value,50
.event[].parallelEvent[].location[].source.uri,28
.event[].parallelEvent[].location[].source.code,49
.event[].parallelEvent[].location[].code,29
.event[].parallelEvent[].contributor[].name[].value,78
.event[].parallelEvent[].contributor[].name[].valueLanguage.code,76
.event[].parallelEvent[].contributor[].name[].valueLanguage.source.code,76
.event[].parallelEvent[].contributor[].name[].valueLanguage.valueScript.code,76
.event[].parallelEvent[].contributor[].name[].valueLanguage.valueScript.source.code,76
.event[].parallelEvent[].contributor[].role[].uri,78
.event[].parallelEvent[].contributor[].role[].code,78
.event[].parallelEvent[].contributor[].role[].value,78
.event[].parallelEvent[].contributor[].role[].source.uri,78
.event[].parallelEvent[].contributor[].role[].source.code,78
.event[].parallelEvent[].contributor[].type,78
.event[].parallelEvent[].contributor[].name[].type,17
.event[].parallelEvent[].contributor[].name[].standard.value,17
.event[].parallelEvent[].date[].structuredValue[].encoding.code,14
.access.accessContact[].code,4
.event[].valueLanguage.valueScript.code,9
.event[].valueLanguage.valueScript.source.code,9
.relatedResource[].access.note[].type,17
.relatedResource[].access.note[].value,17
.relatedResource[].access.note[].appliesTo[].value,17
.subject[].structuredValue[].note[].type,3
.subject[].structuredValue[].note[].value,3
.event[].parallelEvent[].date[].value,3
.event[].parallelEvent[].note[].type,1
.event[].parallelEvent[].note[].value,1
.event[].parallelEvent[].note[].source.value,1
.title[].note[].structuredValue[].type,9
.title[].note[].structuredValue[].value,9
.relatedResource[].event[].date[].qualifier,2
.relatedResource[].event[].date[].structuredValue[].type,176
.relatedResource[].event[].date[].structuredValue[].value,176
.contributor[].name[].parallelValue[].uri,6
.contributor[].name[].parallelValue[].source.uri,6
.event[].location[].note[].type,1
.event[].location[].note[].value,1
.subject[].structuredValue[].note[].uri,2
.subject[].structuredValue[].note[].code,2
.subject[].structuredValue[].note[].source.uri,2
.subject[].structuredValue[].note[].source.code,2
.subject[].structuredValue[].parallelValue[].source.code,1
.subject[].structuredValue[].parallelValue[].structuredValue[].type,6
.subject[].structuredValue[].parallelValue[].structuredValue[].value,6
.subject[].structuredValue[].parallelValue[].type,2
.subject[].structuredValue[].parallelValue[].value,2
.relatedResource[].subject[].type,14
.relatedResource[].subject[].value,14
.relatedResource[].note[].structuredValue[].groupedValue[].structuredValue[].type,14
.relatedResource[].note[].structuredValue[].groupedValue[].structuredValue[].value,14
.relatedResource[].relatedResource[].purl,1
.subject[].source.version,2
.language[].appliesTo[].value,1
.relatedResource[].event[].date[].status,3
.relatedResource[].relatedResource[].note[].value,93
.relatedResource[].relatedResource[].note[].type,60
.relatedResource[].relatedResource[].note[].displayLabel,59
.relatedResource[].relatedResource[].title[].type,24
.relatedResource[].relatedResource[].title[].displayLabel,24
.relatedResource[].relatedResource[].contributor[].name[].value,23
.relatedResource[].relatedResource[].contributor[].role[].uri,23
.relatedResource[].relatedResource[].contributor[].role[].value,23
.relatedResource[].relatedResource[].contributor[].role[].source.code,23
.relatedResource[].relatedResource[].contributor[].type,23
.relatedResource[].relatedResource[].title[].structuredValue[].type,48
.relatedResource[].relatedResource[].title[].structuredValue[].value,48
.subject[].source.value,4
.access.url[].note[].value,2
.identifier[].status,4
.relatedResource[].event[].date[].structuredValue[].status,1
.subject[].parallelValue[].displayLabel,3
.contributor[].name[].standard.value,1
.event[].contributor[].name[].uri,1
.adminMetadata.event[].contributor[].name[].uri,1
.adminMetadata.contributor[].role[].uri,1
.relatedResource[].event[].contributor[].name[].uri,1
